date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:42:46	0/0	---MC-	302	error ('Found')	text/html	date:Thu,%2024%20Feb%202022%2001:42:44%20GMT	https://smkyadika3jakarta.e-ujian.id/student/classroom	C:/Users/YOGA%20ARIYANTO/Desktop/web/website-sederhana-main/game/game%20ketik/anjty/smkyadika3jakarta.e-ujian.id/student/classroom.0.delayed	(from )
08:42:47	85068/85068	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Feb%202022%2001:42:44%20GMT	https://smkyadika3jakarta.e-ujian.id/main/student_login	C:/Users/YOGA%20ARIYANTO/Desktop/web/website-sederhana-main/game/game%20ketik/anjty/smkyadika3jakarta.e-ujian.id/main/student_login.html	(from )
08:42:47	564/564	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Feb%202022%2001:42:44%20GMT	https://smkyadika3jakarta.e-ujian.id/robots.txt		(from )
08:42:47	10570/10570	---MCZ	200	added ('OK')	image/png	etag:W/%2260ee7e51-294a%22	https://smkyadika3jakarta.e-ujian.id/assets/app-assets/img/favicon.png	C:/Users/YOGA%20ARIYANTO/Desktop/web/website-sederhana-main/game/game%20ketik/anjty/smkyadika3jakarta.e-ujian.id/assets/app-assets/img/favicon.png	(from https://smkyadika3jakarta.e-ujian.id/main/student_login)
08:42:47	160403/160403	---MCZ	200	added ('OK')	text/css	etag:W/%2260ee7e51-27293%22	https://smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/bootstrap/css/bootstrap.min.css	C:/Users/YOGA%20ARIYANTO/Desktop/web/website-sederhana-main/game/game%20ketik/anjty/smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/bootstrap/css/bootstrap.min.css	(from https://smkyadika3jakarta.e-ujian.id/main/student_login)
08:42:47	167/167	---MCZ	200	added ('OK')	text/css	etag:W/%2260ee7e51-15a%22	https://smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/assets/css/plugins.css	C:/Users/YOGA%20ARIYANTO/Desktop/web/website-sederhana-main/game/game%20ketik/anjty/smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/assets/css/plugins.css	(from https://smkyadika3jakarta.e-ujian.id/main/student_login)
08:42:48	4672/4672	---MCZ	200	added ('OK')	text/css	etag:W/%2260ee7e51-165e%22	https://smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/assets/css/authentication/form-1.css	C:/Users/YOGA%20ARIYANTO/Desktop/web/website-sederhana-main/game/game%20ketik/anjty/smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/assets/css/authentication/form-1.css	(from https://smkyadika3jakarta.e-ujian.id/main/student_login)
08:42:48	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%225f7b5b5f-e7d0%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.1/css/all.min.css	C:/Users/YOGA%20ARIYANTO/Desktop/web/website-sederhana-main/game/game%20ketik/anjty/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.1/css/all.min.css	(from https://smkyadika3jakarta.e-ujian.id/main/student_login)
08:42:48	11031/11031	---MCZ	200	added ('OK')	text/css	etag:W/%2260ee7e51-30b5%22	https://smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/assets/css/forms/theme-checkbox-radio.css	C:/Users/YOGA%20ARIYANTO/Desktop/web/website-sederhana-main/game/game%20ketik/anjty/smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/assets/css/forms/theme-checkbox-radio.css	(from https://smkyadika3jakarta.e-ujian.id/main/student_login)
08:42:48	6540/6540	---MCZ	200	added ('OK')	text/css	etag:W/%2260ee7e51-1de9%22	https://smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/assets/css/forms/switches.css	C:/Users/YOGA%20ARIYANTO/Desktop/web/website-sederhana-main/game/game%20ketik/anjty/smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/assets/css/forms/switches.css	(from https://smkyadika3jakarta.e-ujian.id/main/student_login)
08:42:49	26762/26762	---MCZ	200	added ('OK')	text/css	etag:W/%2260ee7e51-688a%22	https://smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/plugins/sweetalerts/sweetalert2.min.css	C:/Users/YOGA%20ARIYANTO/Desktop/web/website-sederhana-main/game/game%20ketik/anjty/smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/plugins/sweetalerts/sweetalert2.min.css	(from https://smkyadika3jakarta.e-ujian.id/main/student_login)
08:42:49	17296/17296	---MCZ	200	added ('OK')	text/css	etag:W/%2260ee7e51-595d%22	https://smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/plugins/sweetalerts/sweetalert.css	C:/Users/YOGA%20ARIYANTO/Desktop/web/website-sederhana-main/game/game%20ketik/anjty/smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/plugins/sweetalerts/sweetalert.css	(from https://smkyadika3jakarta.e-ujian.id/main/student_login)
08:42:49	60637/60637	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260ee7e51-ecdd%22	https://smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/plugins/sweetalerts/sweetalert2.min.js	C:/Users/YOGA%20ARIYANTO/Desktop/web/website-sederhana-main/game/game%20ketik/anjty/smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/plugins/sweetalerts/sweetalert2.min.js	(from https://smkyadika3jakarta.e-ujian.id/main/student_login)
08:42:50	4451/4451	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260ee7e51-1704%22	https://smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/plugins/sweetalerts/custom-sweetalert.js	C:/Users/YOGA%20ARIYANTO/Desktop/web/website-sederhana-main/game/game%20ketik/anjty/smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/plugins/sweetalerts/custom-sweetalert.js	(from https://smkyadika3jakarta.e-ujian.id/main/student_login)
08:42:50	86709/86709	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260ee7e51-152b5%22	https://smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/assets/js/libs/jquery-3.1.1.min.js	C:/Users/YOGA%20ARIYANTO/Desktop/web/website-sederhana-main/game/game%20ketik/anjty/smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/assets/js/libs/jquery-3.1.1.min.js	(from https://smkyadika3jakarta.e-ujian.id/main/student_login)
08:42:50	18994/18994	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260ee7e51-4a32%22	https://smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/bootstrap/js/popper.min.js	C:/Users/YOGA%20ARIYANTO/Desktop/web/website-sederhana-main/game/game%20ketik/anjty/smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/bootstrap/js/popper.min.js	(from https://smkyadika3jakarta.e-ujian.id/main/student_login)
08:42:50	60174/60174	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260ee7e51-eb0e%22	https://smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/bootstrap/js/bootstrap.min.js	C:/Users/YOGA%20ARIYANTO/Desktop/web/website-sederhana-main/game/game%20ketik/anjty/smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/bootstrap/js/bootstrap.min.js	(from https://smkyadika3jakarta.e-ujian.id/main/student_login)
08:42:50	241/241	---MCZ	200	added ('OK')	application/javascript	etag:W/%22615feb23-133%22	https://smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/assets/js/authentication/form-1.js	C:/Users/YOGA%20ARIYANTO/Desktop/web/website-sederhana-main/game/game%20ketik/anjty/smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/assets/js/authentication/form-1.js	(from https://smkyadika3jakarta.e-ujian.id/main/student_login)
08:42:51	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%22620d0038-302c%22	https://smkyadika3jakarta.e-ujian.id/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/Users/YOGA%20ARIYANTO/Desktop/web/website-sederhana-main/game/game%20ketik/anjty/smkyadika3jakarta.e-ujian.id/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://smkyadika3jakarta.e-ujian.id/main/student_login)
08:42:51	45274/45274	---MCZ	200	added ('OK')	text/css	etag:W/%2260ee7e51-db5d%22	https://smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/assets/css/main.css	C:/Users/YOGA%20ARIYANTO/Desktop/web/website-sederhana-main/game/game%20ketik/anjty/smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/assets/css/main.css	(from https://smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/assets/css/plugins.css)
08:42:51	1828/1828	---MCZ	200	added ('OK')	text/css	etag:W/%22615feb23-a30%22	https://smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/plugins/perfect-scrollbar/perfect-scrollbar.css	C:/Users/YOGA%20ARIYANTO/Desktop/web/website-sederhana-main/game/game%20ketik/anjty/smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/plugins/perfect-scrollbar/perfect-scrollbar.css	(from https://smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/assets/css/plugins.css)
08:42:52	35578/35578	---MCZ	200	added ('OK')	text/css	etag:W/%2260ee7e51-b174%22	https://smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/assets/css/structure.css	C:/Users/YOGA%20ARIYANTO/Desktop/web/website-sederhana-main/game/game%20ketik/anjty/smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/assets/css/structure.css	(from https://smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/assets/css/plugins.css)
08:42:52	779/779	---MCZ	200	added ('OK')	text/css	etag:W/%2260ee7e51-402%22	https://smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/plugins/highlight/styles/monokai-sublime.css	C:/Users/YOGA%20ARIYANTO/Desktop/web/website-sederhana-main/game/game%20ketik/anjty/smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/plugins/highlight/styles/monokai-sublime.css	(from https://smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/assets/css/plugins.css)
08:42:52	771/771	---MCZ	200	added ('OK')	image/png	etag:W/%2260ee7e51-303%22	https://smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/assets/img/arrow-down.png	C:/Users/YOGA%20ARIYANTO/Desktop/web/website-sederhana-main/game/game%20ketik/anjty/smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/assets/img/arrow-down.png	(from https://smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/assets/css/main.css)
08:42:53	535432/535432	---MCZ	200	added ('OK')	image/jpeg	etag:W/%2260d6fa62-82b88%22	https://smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/assets/img/01.jpg	C:/Users/YOGA%20ARIYANTO/Desktop/web/website-sederhana-main/game/game%20ketik/anjty/smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/assets/img/01.jpg	(from https://smkyadika3jakarta.e-ujian.id/assets/app-assets/template/cbt-malela/assets/css/structure.css)
